,City,Country Code,Latitude,Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (MPH),Date (Unix)
424,Thurso,GB,58.6,55.29,76,40,13.87,1537962600
425,Kondopoga,RU,62.21,50.0,81,75,13.42,1537961400
426,Mastic Beach,US,40.77,72.36,93,90,8.05,1537963740
427,Bilma,NE,18.69,102.75,17,0,5.19,1537964871
428,Nefteyugansk,RU,61.09,71.6,46,0,11.18,1537961400
429,Taree,AU,-31.91,53.6,100,75,6.93,1537963200
430,Talara,PE,-4.58,63.69,91,20,5.3,1537964872
431,Jasper,CA,52.88,27.15,84,64,1.72,1537964873
432,Umm Kaddadah,SD,13.6,94.65,37,0,4.52,1537964873
433,Kiama,AU,-34.67,46.4,100,24,1.16,1537959600
434,Okhotsk,RU,59.36,43.17,100,0,2.51,1537964873
435,Traismauer,AT,48.35,57.2,44,0,12.75,1537962600
436,Ocampo,MX,27.32,55.32,88,12,2.39,1537964874
437,Petranka,UA,48.9,53.6,65,75,6.71,1537961400
438,Pakdasht,IR,35.48,89.29,13,20,6.93,1537961400
439,Mehamn,NO,71.03,43.56,65,0,11.41,1537962600
440,Ajaccio,FR,41.93,73.33,41,0,12.75,1537963200
441,Ondjiva,AO,-17.07,90.78,29,0,7.99,1537964876
442,Kapuskasing,CA,49.42,39.2,100,90,11.41,1537963620
443,Novyy Urgal,RU,51.07,35.61,76,0,2.95,1537964876
444,Novikovo,RU,51.15,52.98,66,44,9.44,1537964877
445,Kloulklubed,PW,7.04,82.4,78,75,8.05,1537962600
446,Ajdabiya,LY,30.75,86.01,49,24,8.99,1537964877
447,Iquitos,PE,-3.75,77.0,88,75,4.7,1537963200
448,Varberg,SE,57.11,56.28,82,75,27.51,1537962600
449,Tautira,PF,-17.73,69.8,68,20,3.36,1537963200
450,La Rioja,AR,-29.41,67.29,87,48,3.96,1537964725
451,Wajima,JP,37.4,68.55,85,92,12.24,1537964879
452,Sao Joao da Barra,BR,-21.64,80.6,57,20,16.11,1537963200
453,Cervo,ES,43.67,66.75,93,0,11.79,1537964879
454,Lavumisa,SZ,-27.31,81.33,49,92,8.21,1537964880
455,Baie-Comeau,CA,49.22,54.84,93,90,2.24,1537964160
456,Butembo,CD,0.12,79.71,56,20,2.95,1537964880
457,Durban,ZA,-29.86,71.25,99,24,13.69,1537964598
458,Bartica,GY,6.41,78.8,94,75,4.7,1537963200
459,Taguatinga,BR,-15.83,78.8,41,0,9.17,1537963200
460,Okha,RU,53.59,42.45,91,0,7.65,1537964881
461,Marabba,SD,12.35,95.19,63,12,5.19,1537964882
462,Sarlat-la-Caneda,FR,44.89,76.3,43,0,12.75,1537963200
463,Meulaboh,ID,4.14,81.15,100,56,2.39,1537964882
464,Sinegorsk,RU,44.77,61.17,54,12,11.34,1537964882
465,Fare,PF,-16.7,75.66,100,80,10.45,1537964883
466,Qarqin,AF,37.41,83.13,25,0,6.98,1537964883
467,Zeya,RU,53.74,44.79,77,0,2.73,1537964883
468,Shahrud,IR,36.42,76.92,23,0,5.3,1537964883
469,Sioux Lookout,CA,50.1,40.84,93,90,12.75,1537964100
470,Bastia,FR,42.7,72.75,43,0,9.17,1537963200
471,Bagdarin,RU,54.44,43.26,63,32,4.18,1537964884
472,Colares,PT,38.8,85.55,37,0,10.29,1537963200
473,Wuwei,CN,37.93,51.36,62,68,5.19,1537964885
474,Porto Belo,BR,-27.15,71.6,88,75,4.7,1537963200
475,Hanzhong,CN,33.08,57.03,81,88,3.51,1537964885
476,Katsuura,JP,33.93,64.4,93,75,5.82,1537959600
477,Xichang,CN,27.88,58.29,100,92,1.72,1537964886
478,Kavaratti,IN,10.57,83.13,100,8,14.47,1537964886
479,Sinnamary,GF,5.38,82.41,97,36,9.78,1537964886
480,Gbarnga,LR,7.0,76.38,100,76,4.07,1537964886
481,Lorengau,PG,-2.02,83.13,100,44,3.18,1537964887
482,Najran,SA,17.54,98.6,13,0,11.41,1537959600
483,Bay City,US,43.59,55.8,86,90,10.29,1537964340
484,Chavakkad,IN,10.53,85.95,62,20,13.87,1537963200
485,Sorong,ID,-0.86,82.59,100,76,13.91,1537964888
486,Shunyi,CN,40.13,62.6,63,0,6.71,1537961400
487,Havelock,US,34.88,73.6,100,90,8.05,1537962840
488,Cerete,CO,8.88,75.2,100,90,5.75,1537963200
489,Naryan-Mar,RU,67.67,45.51,97,92,5.97,1537964889
490,Huarmey,PE,-10.07,60.36,80,76,2.73,1537964889
491,Waipawa,NZ,-39.94,46.05,88,92,3.29,1537964889
492,Kolosovka,RU,56.47,66.39,50,64,10.56,1537964889
493,Hastings,NZ,-39.64,48.57,100,48,7.43,1537964890
494,Aksu,CN,41.12,58.29,56,0,1.72,1537964890
495,Santa Maria,CV,16.6,86.0,70,75,18.34,1537963200
496,North Bend,US,43.41,47.16,93,1,4.74,1537963140
497,Oktyabrskiy,RU,55.61,52.27,43,0,11.18,1537961400
498,Aykhal,RU,65.95,39.3,100,92,7.65,1537964892
499,Taksimo,RU,56.36,35.61,94,44,1.72,1537964892
500,Henties Bay,NA,-22.12,60.63,91,0,8.66,1537964893
501,Brownsville,US,25.91,79.25,94,40,13.13,1537963680
502,Paarl,ZA,-33.74,66.2,63,40,24.16,1537963200
503,Ingham,AU,-18.65,71.16,96,8,8.77,1537964894
